,data,hora,quantidade
0,2019-1-1,0,0
1,2019-1-1,1,1.9694536686264332
2,2019-1-1,2,5.075482137682319
3,2019-1-1,3,7.813611068359804
4,2019-1-1,4,10.7421661020285
5,2019-1-1,5,13.189926795542613
6,2019-1-1,6,15.937575406619969
7,2019-1-1,7,17.730485624936975
8,2019-1-1,8,18.27734449049837
9,2019-1-1,9,20.073349119622296
10,2019-1-1,10,21.025356666687323
11,2019-1-1,11,22.181471952990954
12,2019-1-1,12,22.245552283318524
13,2019-1-1,13,23.95759139640046
14,2019-1-1,14,26.967780902395248
15,2019-1-1,15,28.304697551006825
16,2019-1-1,16,28.664367384818433
17,2019-1-1,17,31.446649505336886
18,2019-1-1,18,32.14503140645732
19,2019-1-1,19,33.02184676147165
20,2019-1-1,20,34.72142184939536
21,2019-1-1,21,35.02812890546166
22,2019-1-1,22,35.56020168080636
23,2019-1-1,23,37.5830579141336
24,2019-1-2,0,39.970820130779636
25,2019-1-2,1,40.936154726180085
26,2019-1-2,2,43.08511741380039
27,2019-1-2,3,45.77414772558048
28,2019-1-2,4,48.36814432316354
29,2019-1-2,5,50.13893981853924
30,2019-1-2,6,50.740035680461354
31,2019-1-2,7,53.74191126316427
32,2019-1-2,8,53.80986132692352
33,2019-1-2,9,55.18085835282621
34,2019-1-2,10,55.25773718914113
35,2019-1-2,11,57.985188858555
36,2019-1-2,12,60.46048075172921
37,2019-1-2,13,63.54054261115658
38,2019-1-2,14,64.75858960532945
39,2019-1-2,15,67.6428101482049
40,2019-1-2,16,67.95138177060079
41,2019-1-2,17,67.98707441971733
42,2019-1-2,18,70.1427685756327
43,2019-1-2,19,71.16146443715515
44,2019-1-2,20,71.70840428223207
45,2019-1-2,21,73.4586021866361
46,2019-1-2,22,73.99831077765175
47,2019-1-2,23,76.70320525417537
48,2019-1-3,0,78.51536937067674
49,2019-1-3,1,79.04583983440584
50,2019-1-3,2,81.16643261341189
51,2019-1-3,3,83.84471934854987
52,2019-1-3,4,85.10672241335367
53,2019-1-3,5,87.5213124074608
54,2019-1-3,6,88.84445367141541
55,2019-1-3,7,89.49679321019595
56,2019-1-3,8,91.84793093402575
57,2019-1-3,9,94.20588877706689
58,2019-1-3,10,95.89527686425663
59,2019-1-3,11,98.18192934200552
60,2019-1-3,12,98.24645889472401
61,2019-1-3,13,99.39946613229826
62,2019-1-3,14,100.94740800975305
63,2019-1-3,15,103.05121099372694
64,2019-1-3,16,103.12092739290665
65,2019-1-3,17,105.33097584530985
66,2019-1-3,18,106.38991135371955
67,2019-1-3,19,108.43947770084112
68,2019-1-3,20,108.86943572416298
69,2019-1-3,21,110.53478093589908
70,2019-1-3,22,113.53136127538458
71,2019-1-3,23,115.51937381788375
72,2019-1-4,0,117.6036537044106
73,2019-1-4,1,120.2622451264893
74,2019-1-4,2,120.8846144518678
75,2019-1-4,3,123.78385647741001
76,2019-1-4,4,126.68666823760114
77,2019-1-4,5,129.43432640308208
78,2019-1-4,6,131.30473899647887
79,2019-1-4,7,132.68718660291967
80,2019-1-4,8,133.6602308999734
81,2019-1-4,9,136.67213829470683
82,2019-1-4,10,137.49909959730667
83,2019-1-4,11,140.30789028148993
84,2019-1-4,12,142.3242415561048
85,2019-1-4,13,142.56780639436252
86,2019-1-4,14,144.94779250312374
87,2019-1-4,15,147.26930324954077
88,2019-1-4,16,149.7476501480662
89,2019-1-4,17,150.04945645509775
90,2019-1-4,18,150.11834103231288
91,2019-1-4,19,150.96020242016257
92,2019-1-4,20,151.8750663914095
93,2019-1-4,21,153.84038224276105
94,2019-1-4,22,154.68079571645103
95,2019-1-4,23,157.44441731771022
96,2019-1-5,0,158.19393424625395
97,2019-1-5,1,160.494119581901
98,2019-1-5,2,163.2194848842353
99,2019-1-5,3,164.67930148230946
100,2019-1-5,4,167.4690308189033
101,2019-1-5,5,167.4714020404888
102,2019-1-5,6,167.63363270049496
103,2019-1-5,7,168.82070679541758
104,2019-1-5,8,169.406078956986
105,2019-1-5,9,169.92591243636826
106,2019-1-5,10,171.61131214313045
107,2019-1-5,11,174.57507119375495
108,2019-1-5,12,176.12638656828656
109,2019-1-5,13,177.6660301622813
110,2019-1-5,14,178.4940214913993
111,2019-1-5,15,180.8269798538303
112,2019-1-5,16,183.838350781371
113,2019-1-5,17,186.1028459957334
114,2019-1-5,18,186.67809979727156
115,2019-1-5,19,189.56169984069393
116,2019-1-5,20,191.83106771862776
117,2019-1-5,21,192.93082814356595
118,2019-1-5,22,195.1789655604544
119,2019-1-5,23,198.10757956335058
120,2019-1-6,0,201.09329011304098
121,2019-1-6,1,203.09954035757264
122,2019-1-6,2,205.04513567546863
123,2019-1-6,3,206.70240736868897
124,2019-1-6,4,207.27270433730237
125,2019-1-6,5,209.5222307268781
126,2019-1-6,6,212.71518849289077
127,2019-1-6,7,214.37444266845927
128,2019-1-6,8,216.14688395038263
129,2019-1-6,9,219.21464302265477
130,2019-1-6,10,220.72680960573436
131,2019-1-6,11,222.53601602525177
132,2019-1-6,12,224.90387115649
133,2019-1-6,13,225.8452266791635
134,2019-1-6,14,227.83378853736033
135,2019-1-6,15,229.4956165261898
136,2019-1-6,16,231.43989711065026
137,2019-1-6,17,231.9067403390276
138,2019-1-6,18,234.45951297570906
139,2019-1-6,19,237.3749494357528
140,2019-1-6,20,239.98844499357097
141,2019-1-6,21,242.87529276917522
142,2019-1-6,22,243.29017139535185
143,2019-1-6,23,243.66196056953672
144,2019-1-7,0,246.78234685481237
145,2019-1-7,1,248.94671041332356
146,2019-1-7,2,250.42173973252278
147,2019-1-7,3,252.27357848943277
148,2019-1-7,4,253.50937779162075
149,2019-1-7,5,253.79874915491698
150,2019-1-7,6,256.9158756224766
151,2019-1-7,7,257.3913431229811
152,2019-1-7,8,260.2031325322383
153,2019-1-7,9,260.4246593620911
154,2019-1-7,10,262.9517492168342
155,2019-1-7,11,263.2028671568472
156,2019-1-7,12,266.30396463214265
157,2019-1-7,13,268.0779338619688
158,2019-1-7,14,268.9028124984336
159,2019-1-7,15,271.20075301577486
160,2019-1-7,16,271.66603433652546
161,2019-1-7,17,272.92378902626814
162,2019-1-7,18,274.5288114349904
163,2019-1-7,19,274.85560675524226
164,2019-1-7,20,274.8646464311961
165,2019-1-7,21,275.7349996265562
166,2019-1-7,22,277.98895670702484
167,2019-1-7,23,279.9121097891516
168,2019-1-8,0,282.95962430391955
169,2019-1-8,1,285.5706150781786
170,2019-1-8,2,288.72448666107874
171,2019-1-8,3,291.23592626215765
172,2019-1-8,4,293.9682643005061
173,2019-1-8,5,295.77979761320626
174,2019-1-8,6,297.57328633806213
175,2019-1-8,7,299.4758343408585
176,2019-1-8,8,299.59702506016924
177,2019-1-8,9,302.21757892149316
178,2019-1-8,10,302.8278783403614
179,2019-1-8,11,305.222623575083
180,2019-1-8,12,305.6248741100412
181,2019-1-8,13,307.05935870080333
182,2019-1-8,14,307.5524103533814
183,2019-1-8,15,310.45544435191186
184,2019-1-8,16,312.94732850550474
185,2019-1-8,17,315.7618155954052
186,2019-1-8,18,317.8208459803276
187,2019-1-8,19,319.9718756275619
188,2019-1-8,20,322.24222230968775
189,2019-1-8,21,325.17267486100457
190,2019-1-8,22,325.951135646182
191,2019-1-8,23,329.1483442363124
192,2019-1-9,0,329.64243561011824
193,2019-1-9,1,330.6090290843203
194,2019-1-9,2,332.93373497040596
195,2019-1-9,3,333.9478303203967
196,2019-1-9,4,336.21913706396214
197,2019-1-9,5,339.1395416157962
198,2019-1-9,6,342.21959776909375
199,2019-1-9,7,343.87150847880304
200,2019-1-9,8,345.9130822597627
201,2019-1-9,9,346.5554784229755
202,2019-1-9,10,346.69096841717334
203,2019-1-9,11,346.8530504655806
204,2019-1-9,12,347.16642419143375
205,2019-1-9,13,349.4653704143725
206,2019-1-9,14,349.81190701436213
207,2019-1-9,15,352.0587975945391
208,2019-1-9,16,352.55900200014196
209,2019-1-9,17,354.93296654094706
210,2019-1-9,18,357.9786450574672
211,2019-1-9,19,360.2830681673044
212,2019-1-9,20,361.12464333920775
213,2019-1-9,21,362.0147679109982
214,2019-1-9,22,363.55359188798025
215,2019-1-9,23,364.13198869553247
216,2019-1-10,0,365.165829367674
217,2019-1-10,1,365.53525999627476
218,2019-1-10,2,365.7949371610296
219,2019-1-10,3,368.66750786424063
220,2019-1-10,4,370.45293441535586
221,2019-1-10,5,371.44632063890583
222,2019-1-10,6,372.0881630189164
223,2019-1-10,7,372.93741314381464
224,2019-1-10,8,373.47361084739754
225,2019-1-10,9,376.3572615701935
226,2019-1-10,10,376.53602880904486
227,2019-1-10,11,376.681309793015
228,2019-1-10,12,379.3938497507007
229,2019-1-10,13,379.42241384420873
230,2019-1-10,14,379.831062195678
231,2019-1-10,15,379.957458549467
232,2019-1-10,16,380.7535788787059
233,2019-1-10,17,381.53475711345595
234,2019-1-10,18,381.92517966292417
235,2019-1-10,19,382.80673399032224
236,2019-1-10,20,385.18929001845527
237,2019-1-10,21,385.6252452971917
238,2019-1-10,22,385.8789553614609
239,2019-1-10,23,386.21020544957383
240,2019-1-11,0,386.6999419789573
241,2019-1-11,1,388.2352779415482
242,2019-1-11,2,389.70563970824736
243,2019-1-11,3,392.0523387636094
244,2019-1-11,4,395.20864872563584
245,2019-1-11,5,398.37726645857884
246,2019-1-11,6,399.6796181785991
247,2019-1-11,7,402.75557373091027
248,2019-1-11,8,404.4085804980815
249,2019-1-11,9,406.7451145417776
250,2019-1-11,10,407.5444558989376
251,2019-1-11,11,407.79313427513057
252,2019-1-11,12,410.4740312231847
253,2019-1-11,13,411.00931446938824
254,2019-1-11,14,413.72711631213843
255,2019-1-11,15,416.4856784712801
256,2019-1-11,16,417.61636543877484
257,2019-1-11,17,419.05426711069913
258,2019-1-11,18,419.0773370334851
259,2019-1-11,19,420.68278121006415
260,2019-1-11,20,423.35620326411504
261,2019-1-11,21,424.5915830234092
262,2019-1-11,22,424.86375505933063
263,2019-1-11,23,427.8948055308852
264,2019-1-12,0,429.1464777741809
265,2019-1-12,1,432.1910911011504
266,2019-1-12,2,433.9197096974431
267,2019-1-12,3,434.39343300443585
268,2019-1-12,4,435.5873058718508
269,2019-1-12,5,437.67307214759853
270,2019-1-12,6,438.63415402634706
271,2019-1-12,7,440.92865787818346
272,2019-1-12,8,443.0226704351672
273,2019-1-12,9,443.95513503789056
274,2019-1-12,10,445.756585345944
275,2019-1-12,11,446.6278599688968
276,2019-1-12,12,447.15405825497857
277,2019-1-12,13,447.19995459194604
278,2019-1-12,14,447.78652785180316
279,2019-1-12,15,448.2160786746056
280,2019-1-12,16,451.04119007820634
281,2019-1-12,17,453.74831945833694
282,2019-1-12,18,456.5240782404261
283,2019-1-12,19,456.93582814425474
284,2019-1-12,20,459.12811031581623
285,2019-1-12,21,460.1990349886252
286,2019-1-12,22,462.86372535525106
287,2019-1-12,23,464.53282228190113
288,2019-1-13,0,467.3584714459897
289,2019-1-13,1,468.27946916916
290,2019-1-13,2,469.2643242279478
291,2019-1-13,3,471.8052051309379
292,2019-1-13,4,471.86217656474025
293,2019-1-13,5,474.9606190584772
294,2019-1-13,6,477.1552481365048
295,2019-1-13,7,478.0227211376471
296,2019-1-13,8,480.1853905818069
297,2019-1-13,9,483.2571573574886
298,2019-1-13,10,484.39258594920665
299,2019-1-13,11,486.9002578064462
300,2019-1-13,12,488.8059963571607
301,2019-1-13,13,490.24789352445566
302,2019-1-13,14,490.9958235007105
303,2019-1-13,15,493.1293947823399
304,2019-1-13,16,494.2663719053617
