data,hora,quantidade,,,,,,
2019-01-01,0,1.2,,,,,,
2019-01-01,1,3.6,,,,,,
2019-01-01,2,3.7,,,,,,
2019-01-01,3,4,,,,,,
2019-01-01,4,4.12,,,,,,
2019-01-01,5,5.196,,,,,,
2019-01-01,6,5.82,,,,,,
2019-01-01,7,6.444,,,,,,
2019-01-01,8,7.068,,,,,,
2019-01-01,9,7.692,,,,,,
2019-01-01,10,8.316,,,,,,
2019-01-01,11,8.94,,,,,,
2019-01-01,12,9.564,,,,,,
2019-01-01,13,10.188,,,,,,
2019-01-01,14,10.812,,,,,,
2019-01-01,15,11.436,,,,,,
2019-01-01,16,12.06,,,,,,
2019-01-01,17,12.684,,,,,,
2019-01-01,18,13.308,,,,,,
2019-01-01,19,13.932,,,,,,
2019-01-01,20,14.556,,,,,,
2019-01-01,21,15.18,,,,,,
2019-01-01,22,15.804,,,,,,
2019-01-01,23,16.428,,,,,,
2019-01-02,0,17.052,,,,,,
2019-01-02,1,17.676,,,,,,
2019-01-02,2,18.3,,,,,,
2019-01-02,3,18.924,,,,,,
2019-01-02,4,19.548,,,,,,
2019-01-02,5,20.172,,,,,,
2019-01-02,6,20.796,,,,,,
2019-01-02,7,21.42,,,,,,
2019-01-02,8,22.044,,,,,,
2019-01-02,9,22.668,,,,,,
2019-01-02,10,23.292,,,,,,
2019-01-02,11,23.916,,,,,,
2019-01-02,12,24.54,,,,,,
2019-01-02,13,25.164,,,,,,
2019-01-02,14,25.788,,,,,,
2019-01-02,15,26.412,,,,,,
2019-01-02,16,27.036,,,,,,
2019-01-02,17,27.66,,,,,,
2019-01-02,18,28.284,,,,,,
2019-01-02,19,28.908,,,,,,
2019-01-02,20,29.532,,,,,,
2019-01-02,21,30.156,,,,,,
2019-01-02,22,30.78,,,,,,
2019-01-02,23,31.404,,,,,,
2019-01-03,0,32.028,,,,,,
2019-01-03,1,32.652,,,,,,
2019-01-03,2,33.276,,,,,,
2019-01-03,3,33.9,,,,,,
2019-01-03,4,34.524,,,,,,
2019-01-03,5,35.148,,,,,,
2019-01-03,6,35.772,,,,,,
2019-01-03,7,36.396,,,,,,
2019-01-03,8,37.02,,,,,,
2019-01-03,9,37.644,,,,,,
2019-01-03,10,38.268,,,,,,
2019-01-03,11,38.892,,,,,,
2019-01-03,12,39.516,,,,,,
2019-01-03,13,40.14,,,,,,
2019-01-03,14,40.764,,,,,,
2019-01-03,15,41.388,,,,,,
